moduleCode,title,semesters
BL5331,Conservation Governance and Climate Solutions,[2]
BL5601,Case Studies in Biotechnology,"[1, 2]"
BL5602,Genetic Engineering in Biotechnology,[1]
BL5623,Infectious Diseases and Host-Pathogen Interactions,[2]
BL5631,Practical Analysis of Genomic Data using R,[1]
BL5632,Genomic Data Science in the Cloud,[2]
BL5661,Urban Agriculture and Crop Biotechnology,[1]
BL5699,Capstone Project in Biotechnology,"[1, 2, 3, 4]"
BLD3002,CEOs as Leaders,[1]
BLD3003,Personal Leadership Development,[1]
BLD3004,Topics in Leadership Development,[1]
BMA5001,Managerial Economics,"[1, 2]"
BMA5002,Analytics For Managers,[2]
BMA5003,Financial Accounting,[1]
BMA5008,Financial Management,[1]
BMA5009,Marketing Strategy,[2]
BMA5013,Corporate Strategy,"[1, 2, 3]"
BMA5016,Leading with Impact,"[1, 2]"
BMA5017,Managerial Operations and Analytics,"[1, 2]"
BMA5104,Global Strategic Management,[1]
BMA5112,Asian Business Environments,[2]
BMA5115,Management of Technological Innovation,[2]
BMA5118A,Special Topics in Strategy and Policy: Sustainability Strategy,[2]
BMA5119,Family Business,[3]
BMA5128,Venture Capital,[4]
BMA5129,Leading with Strategy in Digital Firms,[4]
BMA5130,Consulting 2.0,"[1, 4]"
BMA5132,Emerging Tech and the Value of Data,"[1, 3]"
BMA5133,Legal Fundamentals for Entrepreneurs and Managers,"[1, 2]"
BMA5134,Entrepreneurial Management,[1]
BMA5135,Execution of Digital Strategy in the real world,[2]
BMA5236,Global Operations Strategy In The Digital Economy,[2]
BMA5271,"Leadership in Supply Chain, Operations & Sustainability",[3]
BMA5275,Analytics in Managerial Economics,[1]
BMA5276,Big Data in Marketing,[4]
BMA5302,Investment Analysis and Management,[2]
BMA5303,Financial Statement Analysis,[3]
BMA5309,Fund Management,"[2, 4]"
BMA5313,Venture Capital and Private Equity,[4]
BMA5313A,Valuation and Mergers & Acquisitions,[2]
BMA5314,Entrepreneurial Finance,[1]
BMA5324,Value Investing In Asia,[1]
BMA5334,Fintech and Financial Data Analytics,[3]
BMA5335,Digital Assets and Blockchain in Finance,"[1, 3]"
BMA5336,Sustainability Risk Management,[3]
BMA5404,Entrepreneurship & Innovation,[1]
BMA5405,Managing Change,[4]
BMA5406,Negotiations and Conflict Management,[1]
BMA5411,Talent Development and Performance Management,[1]
BMA5424,Corporate Entrepreneurship and Business Model Evaluation,[3]
BMA5425,Social Entrepreneurship,[2]
BMA5429,Mastering Influence,"[2, 4]"
BMA5430,Judgment and Decision Making Under Uncertainty,[3]
BMA5431,AI for Talent Management and Organizational Design,[1]
BMA5502,Understanding & Influencing Consumers,[2]
BMA5505,Services Management,[1]
BMA5506,Product & Brand Management,[1]
BMA5515,Research for Marketing Insights,[1]
BMA5524,Marketing Analytics,[3]
BMA5528,Business to Business Marketing,[2]
BMA5533,Digital Marketing,[4]
BMA5537,Customer Centricity and Brand Alignment,[3]
BMA5537A,Brand Alignment for Sustainable Growth,[1]
BMA5537B,Customer centricity in the Digital Age,[1]
BMA5538,Distribution Management: Channels and Platforms,[1]
BMA5539,Social Purpose Marketing,[1]
BMA5801,Launch Your Transformation,"[1, 2]"
BMA5802,MBA Survival Kit,[2]
BMA5802A,MBA Survival Kit,[1]
BMA5802B,MBA Survival Kit,[1]
BMA5802C,MBA Survival Kit,[1]
BMA5802D,MBA Survival Kit,[1]
BMA5901,MBA Consulting Project,"[1, 2]"
BMA5902,Entrepreneurship Practicum,"[1, 2]"
BMA5903,MBA Internship,"[1, 2]"
BMC5001A,Leadership,[2]
BMC5002A,Corporate Strategy,[2]
BMC5002B,Contemporary Issues in Strategy,[2]
BMC5003B,Information Management,[2]
BMC5005A,International Business,[2]
BMC5007B,Financial Management,[2]
BMC5009B,Supply Chain Management,[2]
BMC5010A,Corporate Finance,[2]
BMC5021,"Leadership: exploration, assessment & development","[1, 2]"
BMC5022,Strategy,"[1, 2]"
BMC5023,Business analytics and decision making,[1]
BMC5024,Asia and global economy,"[1, 2]"
BMC5025,International business and internationalisation,"[1, 2, 3]"
BMC5026,Marketing strategy,"[2, 3]"
BMC5027,Accounting and information management,[1]
BMC5028,Managing human capital,[2]
BMC5029,"Value chains, logistics and operations","[1, 2]"
BMC5030,Governance and sustainable business,[2]
BMC5031,"Technology, innovation and entrepreneurship",[1]
BMC5032,Economic analysis for managers,[1]
BMC5035A,Special topics 2A,[1]
BMC5035B,Special topics 2B,[1]
BMC5035C,Special topics 2C,[1]
BMC5035D,Special topics 2D,[1]
BMC5035F,Digital Transformation and Intelligent Management,[1]
BMC5035G,Current Topics in Economics and Finance,[1]
BMC5035H,Business Model Design in New Era,[2]
BMC5035J,Business innovation inspired by creative industry,[2]
BMC5036,Corporate finance,[1]
BMC5037,Financial management and markets,[1]
BMC5038,Managing organizations and change,[1]
BMD5301,Introduction to Finance for FinTech Professionals,[1]
BMD5302,Financial Modelling for FinTech Professionals,[2]
BME5040,Business Analytics and Decision Making,[3]
BME5041,"Value Chains, Logistics and Operations",[1]
BME5042,Accounting and Information Management,"[1, 2]"
BME5043,Financial Management and Markets,"[1, 3]"
BME5044,"Communications, Influence and Negotiations",[3]
BME5045,"Leadership: Exploration, Assessment & Development","[1, 3]"
BME5046,Managing Organisations,"[1, 3]"
BME5047,Managing Change and Disruption,[1]
BME5048,Managing Human Capital,[2]
BME5051,Economic Analysis for Managers,[1]
BME5054,Strategy,[1]
BME5055,"Technology, Innovation and Entrepreneurship",[1]
BME5056A,Special Topic 1A,[1]
BME5057A,Special Topic 2A,[1]
BMF5321,Financial Modelling,[1]
BMF5322,Introduction to Finance,[1]
BMF5323,Accounting for Finance Professionals,[1]
BMF5324,Statistics and Analytics in Finance,[1]
BMF5331,Applied Corporate Finance,[2]
BMF5332,Foundation of Investments,[2]
BMF5333,Options and Fixed Income,[2]
BMF5334,International Finance and Economics,[2]
BMF5342,Technological Disruptions in Finance and Data Analytics,[1]
BMF5343,Banks and Non-Traditional Financial Intermediaries,[1]
BMF5344,Financial Statement Analysis and Value Investing,[1]
BMF5346,Venture Capital and Private Equity,[1]
BMF5351,Household Finance,[1]
BMF5353,Applied Investment Strategies,[1]
BMF5354,Financial Regulation in a Digital Age,[1]
BMF5355,Financial Systems and Technologies,[1]
BMF5356,Applied Financial Risk Management,[1]
BMF5357,Sustainable Investment,[1]
BMF5358,Entrepreneurship in Financial Technology,[1]
BMF5359,Valuation and Mergers & Acquisitions,[1]
BMF5391A,Experiential Learning: Individual Internship,"[1, 2, 3]"
BMF5391B,Experiential Learning: Applied Team Project,[1]
BMF5391C,Experiential Learning: Applied Faculty Project,[1]
BMF5393A,Experiential Learning: Advanced Individual Internship,[1]
BMG5101,Foundational Corporate Finance,[1]
BMG5102,Foundational Investments,[1]
BMG5103,Corporate Governance and Sustainability,[1]
BMG5104,Economics of Sustainability,[1]
BMH5101,Quantitative Methods for HR,[2]
BMH5102,Talent Assessment & Selection,[1]
BMH5103,People Analytics,[2]
BMH5104,Artificial Intelligence for HR,[1]
BMH5105,Communication for HR Professionals,[2]
BMH5106,HR Technology,[2]
BMH5107,Leading and Managing Difficult Employees,[1]
BMH5108,Labour and Employment Law,[4]
BMH5109,Talent Management,[2]
BMH5110,Compensation and Performance Management,[1]
BMH5111,HR as Strategic Partner for Growth & Transformation,[1]
BMH5112,Negotiation & Dispute Resolution,[2]
BMH5113,Ethics in Human Resources,[1]
BMI5101,Advanced Biomedical Informatics,[1]
BMI5102,Health Sciences for Non-Clinicians,[1]
